NAME,B01003_001E,B01001_002E,B01001_026E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B03003_001E,B03003_002E,B03003_003E,B19083_001E,B19083_001M,B19301_001E,B19301A_001E,B19301H_001E,B19301I_001E,B19301B_001E,B19301C_001E,B19301D_001E,B19301E_001E,B19301F_001E,B19301G_001E,state,county
"Oscoda County, Michigan",8277,4251,4026,8018,53,52,4,4,18,128,0,128,8277,8151,126,0.4396,0.0418,23526,23731,23861,11068,13479,12617,,,,21688,26,135
"Crawford County, Michigan",13836,7060,6776,13291,84,70,123,0,75,193,8,185,13836,13571,265,0.4070,0.0236,24884,25288,25484,10742,16808,31087,18172,-666666666,10859,8017,26,039
"Clinton County, Michigan",77896,38528,39368,73107,1360,138,1224,0,193,1874,138,1736,77896,74390,3506,0.4221,0.0115,33568,34446,34943,23479,21264,26378,28202,-666666666,27993,12858,26,037
"Gratiot County, Michigan",41067,21961,19106,37353,2313,211,156,23,126,885,184,701,41067,38613,2454,0.4575,0.0143,22027,23478,23937,15075,2986,27255,12867,43126,17758,10978,26,057
"Huron County, Michigan",31543,15692,15851,30648,124,77,184,0,104,406,52,354,31543,30802,741,0.4335,0.0106,27130,27406,27614,16599,17868,20758,29321,-666666666,25406,9739,26,063
"Lenawee County, Michigan",98474,49815,48659,91413,2640,492,284,15,1003,2627,361,2266,98474,90690,7784,0.4170,0.0127,26958,27532,28159,18609,14588,23672,48271,,17470,21468,26,091
"Mason County, Michigan",28884,14310,14574,27449,277,221,186,0,120,631,208,423,28884,27570,1314,0.4694,0.0296,28812,29519,30094,14551,7164,21192,14508,-666666666,11221,17807,26,105
"Montcalm County, Michigan",63209,32595,30614,59734,1390,316,253,41,314,1161,226,935,63209,61012,2197,0.4196,0.0119,23018,23250,23418,16160,15781,21997,55134,7193,15279,15705,26,117
"St. Joseph County, Michigan",60897,30259,30638,55466,1338,213,304,30,1617,1929,72,1857,60897,56187,4710,0.4224,0.0147,25136,26139,26884,12321,16397,11645,28682,,14227,12487,26,149
"St. Clair County, Michigan",159566,79300,80266,149216,3393,275,1082,38,937,4625,369,4256,159566,154285,5281,0.4327,0.0082,29356,30065,30389,17831,21273,18739,30550,13895,27301,13301,26,147
